tract,avg_temp_red,perc_below_2pov,green_percent,longitude,latitude,population,area,,,
2023,0.732083,27.06367925,65.84999847,-78.93719692,35.91682012,2837,0.9,,,
2024,0.782725,7.073954984,68.08000183,-78.93140217,35.93614511,7058,1.7,,,
2024,0.863743,22.92490119,73.84999847,-78.94154598,35.92500813,7058,1.7,,,
2024,0.814158,5.628847845,68.41000366,-78.93217396,35.92661731,7058,1.7,,,
2025,0.762898,20.98512057,68.55000305,-78.91648173,35.93514892,6410,2.3,,,
2025,0.728674,16.43035863,69.94000244,-78.90302379,35.92940893,6410,2.3,,,
2025,0.947298,27.81954887,80.56999969,-78.89499009,35.92300065,6410,2.3,,,
2026,0.598766,47.90136411,58.49000168,-78.91161586,35.94627425,6831,2.2,,,
2026,0.878351,38.84958474,71.95999908,-78.89235133,35.94508285,6831,2.2,,,
2035,0.788143,50.07974482,73.47000122,-78.87721375,35.94039015,6682,3.8,,,
2036,0.757434,29.52054795,71.27999878,-78.8983602,35.89438982,4307,2.6,,,
2036,0.863888,33.16725979,75.94999695,-78.9079154,35.90560737,4307,2.6,,,
2038,0.870442,5.128205128,79.06999969,-78.83341244,35.9121195,5724,4.9,,,
2038,0.679444,30.11928429,62.88999939,-78.81342249,35.91422154,5724,4.9,,,
2200,0.255522,72.85499247,31.77000046,-78.90179059,35.99941187,3177,0.6,,,
2300,0.446123,73.11827957,52.09999847,-78.90391404,35.98836063,2434,0.5,,,
2300,0.26666,100,49.00999832,-78.89850212,35.98610664,2434,0.5,,,
10707,0.580532,30.24193548,62.56999969,-79.0900113,35.91176594,3363,0.6,,,
10707,0.492382,63.78539493,60.56999969,-79.08111188,35.91107436,3363,0.6,,,
10708,0.295515,72.19935985,50.43999863,-79.08161311,35.90530426,2603,0.3,,,
10708,0.755946,58.85111372,73.58000183,-79.07538607,35.90596098,2603,0.3,,,
10710,0.752905,35.63714903,78.05000305,-79.09037983,35.90070863,3335,6.4,,,
10709,0.930816,41.02449889,84.62999725,-79.08729273,35.8898653,1955,1.1,,,
10705,0.886934,29.17948718,80.41000366,-79.0893357,35.92108659,5036,1.5,,,
10705,0.909011,71.50621118,77.97000122,-79.07410599,35.92006031,5036,1.5,,,
10705,0.570457,35.91885442,65.01000214,-79.06878779,35.90787356,5036,1.5,,,
10705,0.53505,21.76870748,62.90000153,-79.07513353,35.91233007,5036,1.5,,,
10706,0.891951,6.512605042,85.08999634,-79.09523927,35.93695029,3668,2.2,,,
10706,1.139672,2.706843718,89.18000031,-79.08102088,35.93542729,3668,2.2,,,
10904,1.261831,68.65671642,93.43000031,-79.03389837,36.06519345,3673,16.4,,,
10902,1.054908,45.35232384,86.62000275,-79.01295215,36.02695298,6584,12.9,,,
10902,1.118158,23.00985595,88.43000031,-79.07882715,36.03370428,6584,12.9,,,
11001,0.816382,11.7396358,80.16999817,-79.08210287,36.09123666,4733,4.2,,,
11002,1.002335,34.99308437,84.41000366,-79.07583765,36.06802991,4291,8.2,,,
11001,0.751791,21.60278746,74.19999695,-79.10539222,36.07888479,4733,4.2,,,
11002,0.7655,41.82879377,71.06999969,-79.11123321,36.07347412,4291,8.2,,,
11002,0.99394,31.63716814,83.68000031,-79.13125081,36.07151326,4291,8.2,,,
11106,1.044536,50.9762533,84.37000275,-79.10887611,36.04834707,2471,3.9,,,
11208,1.046813,13.46085724,84.87999725,-79.09068678,35.95609831,5245,10.5,,,
11207,0.790019,4.362801378,71.33000183,-79.06672769,35.96510476,4599,1.8,,,
11206,0.747673,10.95768374,72.38999939,-79.03275312,35.96297023,4184,1.5,,,
11206,0.60679,44.22187982,55.29000092,-79.01109837,35.95095432,4184,1.5,,,
11300,0.822262,71.08585859,77.86000061,-79.06112661,35.91755449,3132,0.4,,,
11400,1.156149,22.75334608,87.76999664,-79.04590046,35.92656293,3893,1.3,,,
11400,0.675853,74.40510737,67.5,-79.05360914,35.91853932,3893,1.3,,,
11500,1.050435,35.59742191,81.23000336,-79.03439056,35.91428411,1849,1.4,,,
11601,0.467075,100,54.02999878,-79.05119511,35.91340217,2114,0.3,,,
11601,0.269164,100,33.09000015,-79.04965692,35.91021633,2114,0.3,,,
11602,0.486198,100,44.77999878,-79.04309904,35.90649278,6498,0.6,,,
11602,0.162987,100,21.93000031,-79.05008345,35.90494336,6498,0.6,,,
11602,0.416423,87.79495525,40.33000183,-79.04404864,35.90016694,6498,0.6,,,
11700,0.365415,60.57951482,50.93999863,-79.05896635,35.90965866,5791,1,,,
11700,0.924401,56.09756098,75.02999878,-79.05817906,35.89983487,5791,1,,,
11800,1.069609,63.97790055,88.97000122,-79.06651689,35.9405322,3076,2,,,
11800,1.077901,43.66341714,85.88999939,-79.06400732,35.92667699,3076,2,,,
11903,1.055529,12.75862069,84.83000183,-79.04872702,35.95583562,2162,0.7,,,
11904,1.222715,46.5392562,91.73000336,-79.04503341,35.94561257,3096,1.5,,,
11904,1.125369,34.82972136,87.62000275,-79.04858851,35.93800534,3096,1.5,,,
11902,0.903531,12.13235294,81.43000031,-79.02845695,35.9503089,4367,1.6,,,
11902,1.127758,11.03038309,86.54000092,-79.03369366,35.9380982,4367,1.6,,,
12101,0.642349,24.26653406,62.16999817,-79.01141515,35.9392307,3913,1.3,,,
12103,0.712859,22.52934495,65.62000275,-79.01733808,35.91323711,2764,1,,,
12101,0.496851,34.20647149,44.86000061,-79.02627327,35.93015239,3913,1.3,,,
12102,0.924341,10.71044133,76.77999878,-79.01341952,35.92652677,1543,0.8,,,
12201,0.998756,11.77474403,84.98999786,-79.0297625,35.88603298,3084,7.7,,,
69,1.080361,16.33237822,87.51999664,-79.05435273,35.87047935,3084,7.7,,,
12202,0.916013,46.33792603,78.65000153,-79.06873474,35.89557033,5449,2.2,,,
12202,0.841606,15.0055991,73.27999878,-79.0741095,35.88745941,5449,2.2,,,
12202,0.790708,19.57943925,69.69000244,-79.07226721,35.87631929,5449,2.2,,,
